counts	number of items in equivalence class	isoforms in equivalence class
31	14	('ENST00000251871', 'ENST00000533133', 'ENST00000638487', 'ENST00000638767', 'ENST00000638790', 'ENST00000639189', 'ENST00000639457', 'ENST00000639523', 'ENST00000639596', 'ENST00000639724', 'ENST00000640027', 'ENST00000640077', 'ENST00000640451', 'ENST00000640521')
31	1	('ENST00000270115',)
31	3	('ENST00000492685', 'ENST00000526115', 'ENST00000620138')
31	2	('ENST00000517839', 'ENST00000522056')
31	11	('ENST00000322776', 'ENST00000415352', 'ENST00000529867', 'ENST00000529927', 'ENST00000530103', 'ENST00000530638', 'ENST00000532244', 'ENST00000532303', 'ENST00000532343', 'ENST00000533075', 'ENST00000647561')
31	9	('ENST00000528498', 'ENST00000528556', 'ENST00000530749', 'ENST00000532118', 'ENST00000533991', 'ENST00000645495', 'ENST00000645527', 'ENST00000646663', 'ENST00000647231')
31	1	('ENST00000530797',)
31	22	('ENST00000301781', 'ENST00000360796', 'ENST00000403734', 'ENST00000405837', 'ENST00000413908', 'ENST00000449636', 'ENST00000464544', 'ENST00000524862', 'ENST00000528874', 'ENST00000530009', 'ENST00000531524', 'ENST00000532818', 'ENST00000533982', 'ENST00000679883', 'ENST00000682223', 'ENST00000682262', 'ENST00000682555', 'ENST00000683025', 'ENST00000683296', 'ENST00000684067', 'ENST00000684285', 'ENST00000684475')
31	14	('ENST00000301764', 'ENST00000535283', 'ENST00000539426', 'ENST00000540166', 'ENST00000542337', 'ENST00000679588', 'ENST00000679712', 'ENST00000680075', 'ENST00000680357', 'ENST00000680367', 'ENST00000680602', 'ENST00000681188', 'ENST00000681803', 'ENST00000681935')
31	9	('ENST00000301764', 'ENST00000543658', 'ENST00000679712', 'ENST00000680075', 'ENST00000680357', 'ENST00000680602', 'ENST00000680717', 'ENST00000681188', 'ENST00000681935')
31	16	('ENST00000308639', 'ENST00000406246', 'ENST00000525693', 'ENST00000526283', 'ENST00000527749', 'ENST00000527874', 'ENST00000527909', 'ENST00000529389', 'ENST00000531238', 'ENST00000532879', 'ENST00000532999', 'ENST00000533187', 'ENST00000533546', 'ENST00000534283', 'ENST00000534558', 'ENST00000612991')
31	9	('ENST00000528498', 'ENST00000530131', 'ENST00000530301', 'ENST00000530749', 'ENST00000544551', 'ENST00000645495', 'ENST00000645527', 'ENST00000646663', 'ENST00000647231')
31	15	('ENST00000263578', 'ENST00000525770', 'ENST00000532125', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000686242', 'ENST00000686888', 'ENST00000687699', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000690512', 'ENST00000692039', 'ENST00000692336')
31	3	('ENST00000254616', 'ENST00000533379', 'ENST00000640959')
31	3	('ENST00000317568', 'ENST00000416776', 'ENST00000525156')
31	1	('ENST00000304363',)
31	3	('ENST00000319863', 'ENST00000354286', 'ENST00000524550')
31	6	('ENST00000323180', 'ENST00000418153', 'ENST00000532028', 'ENST00000676320', 'ENST00000690620', 'ENST00000693049')
31	2	('ENST00000227322', 'ENST00000444935')
31	7	('ENST00000278951', 'ENST00000324225', 'ENST00000431081', 'ENST00000524842', 'ENST00000532960', 'ENST00000620360', 'ENST00000628876')
31	1	('ENST00000323688',)
31	6	('ENST00000319863', 'ENST00000354286', 'ENST00000397472', 'ENST00000524550', 'ENST00000526325', 'ENST00000534603')
31	14	('ENST00000313074', 'ENST00000377702', 'ENST00000411458', 'ENST00000438980', 'ENST00000535675', 'ENST00000536667', 'ENST00000538032', 'ENST00000539833', 'ENST00000539851', 'ENST00000541952', 'ENST00000542190', 'ENST00000543383', 'ENST00000546139', 'ENST00000546201')
31	8	('ENST00000316924', 'ENST00000394065', 'ENST00000394066', 'ENST00000394067', 'ENST00000394078', 'ENST00000417856', 'ENST00000421552', 'ENST00000461611')
31	6	('ENST00000278916', 'ENST00000427383', 'ENST00000438015', 'ENST00000532449', 'ENST00000534070', 'ENST00000544373')
31	6	('ENST00000341318', 'ENST00000352980', 'ENST00000377046', 'ENST00000530446', 'ENST00000530605', 'ENST00000534104')
30	5	('ENST00000434101', 'ENST00000525079', 'ENST00000528230', 'ENST00000533058', 'ENST00000533632')
30	5	('ENST00000322008', 'ENST00000397420', 'ENST00000397421', 'ENST00000524748', 'ENST00000530726')
30	6	('ENST00000308110', 'ENST00000524647', 'ENST00000525768', 'ENST00000529374', 'ENST00000529857', 'ENST00000533035')
30	2	('ENST00000265465', 'ENST00000649896')
30	6	('ENST00000323578', 'ENST00000436108', 'ENST00000449825', 'ENST00000454838', 'ENST00000528581', 'ENST00000534254')
30	13	('ENST00000299427', 'ENST00000436873', 'ENST00000533371', 'ENST00000642892', 'ENST00000643439', 'ENST00000643516', 'ENST00000644218', 'ENST00000644683', 'ENST00000644810', 'ENST00000645620', 'ENST00000647152', 'ENST00000647209', 'ENST00000682424')
30	3	('ENST00000325207', 'ENST00000526104', 'ENST00000528357')
30	6	('ENST00000339997', 'ENST00000354497', 'ENST00000356000', 'ENST00000377819', 'ENST00000537981', 'ENST00000540798')
30	2	('ENST00000537837', 'ENST00000544490')
30	1	('ENST00000533182',)
30	7	('ENST00000307998', 'ENST00000526624', 'ENST00000527378', 'ENST00000528176', 'ENST00000530850', 'ENST00000531972', 'ENST00000533347')
30	10	('ENST00000299576', 'ENST00000309357', 'ENST00000309377', 'ENST00000396648', 'ENST00000524577', 'ENST00000525005', 'ENST00000529876', 'ENST00000529942', 'ENST00000534147', 'ENST00000534506')
30	11	('ENST00000330243', 'ENST00000348655', 'ENST00000397566', 'ENST00000397570', 'ENST00000525445', 'ENST00000532326', 'ENST00000532788', 'ENST00000533182', 'ENST00000533190', 'ENST00000647801', 'ENST00000649187')
30	3	('ENST00000307980', 'ENST00000538013', 'ENST00000544620')
30	4	('ENST00000310513', 'ENST00000358597', 'ENST00000395290', 'ENST00000532048')
30	6	('ENST00000278460', 'ENST00000378615', 'ENST00000378618', 'ENST00000395460', 'ENST00000526424', 'ENST00000528488')
30	6	('ENST00000299492', 'ENST00000526046', 'ENST00000526873', 'ENST00000527790', 'ENST00000528947', 'ENST00000684123')
30	12	('ENST00000256190', 'ENST00000525040', 'ENST00000675281', 'ENST00000676324', 'ENST00000676387', 'ENST00000688344', 'ENST00000689128', 'ENST00000689258', 'ENST00000689342', 'ENST00000689940', 'ENST00000690944', 'ENST00000692716')
30	1	('ENST00000492685',)
30	2	('ENST00000279230', 'ENST00000325234')
30	11	('ENST00000251871', 'ENST00000533133', 'ENST00000638487', 'ENST00000638767', 'ENST00000639189', 'ENST00000639523', 'ENST00000639596', 'ENST00000639724', 'ENST00000640027', 'ENST00000640077', 'ENST00000640521')
30	3	('ENST00000321460', 'ENST00000321685', 'ENST00000628077')
30	14	('ENST00000312049', 'ENST00000315422', 'ENST00000377313', 'ENST00000377316', 'ENST00000377321', 'ENST00000377326', 'ENST00000394374', 'ENST00000413626', 'ENST00000424912', 'ENST00000429702', 'ENST00000440873', 'ENST00000450708', 'ENST00000672079', 'ENST00000672304')
30	5	('ENST00000382743', 'ENST00000524564', 'ENST00000525319', 'ENST00000529382', 'ENST00000532837')
30	18	('ENST00000301781', 'ENST00000360796', 'ENST00000403550', 'ENST00000403734', 'ENST00000405837', 'ENST00000407022', 'ENST00000421906', 'ENST00000449636', 'ENST00000524862', 'ENST00000679883', 'ENST00000682223', 'ENST00000682262', 'ENST00000682555', 'ENST00000683025', 'ENST00000683296', 'ENST00000684067', 'ENST00000684285', 'ENST00000684475')
30	6	('ENST00000256996', 'ENST00000378601', 'ENST00000610805', 'ENST00000614825', 'ENST00000617847', 'ENST00000622090')
30	1	('ENST00000256196',)
30	7	('ENST00000334805', 'ENST00000536290', 'ENST00000536377', 'ENST00000537947', 'ENST00000542989', 'ENST00000543304', 'ENST00000546314')
30	5	('ENST00000280352', 'ENST00000393047', 'ENST00000420986', 'ENST00000524989', 'ENST00000532163')
30	6	('ENST00000260318', 'ENST00000389568', 'ENST00000393100', 'ENST00000417449', 'ENST00000428149', 'ENST00000429370')
30	5	('ENST00000254584', 'ENST00000396777', 'ENST00000423813', 'ENST00000445086', 'ENST00000614314')
30	5	('ENST00000308110', 'ENST00000524647', 'ENST00000525768', 'ENST00000529857', 'ENST00000533035')
30	11	('ENST00000308639', 'ENST00000406246', 'ENST00000525693', 'ENST00000526283', 'ENST00000527909', 'ENST00000529389', 'ENST00000531238', 'ENST00000532879', 'ENST00000532999', 'ENST00000533546', 'ENST00000612991')
30	7	('ENST00000312234', 'ENST00000525767', 'ENST00000526451', 'ENST00000527249', 'ENST00000529964', 'ENST00000529973', 'ENST00000533544')
30	1	('ENST00000532805',)
30	1	('ENST00000334418',)
30	12	('ENST00000392841', 'ENST00000442944', 'ENST00000536813', 'ENST00000537841', 'ENST00000542729', 'ENST00000544387', 'ENST00000545621', 'ENST00000546302', 'ENST00000648374', 'ENST00000650101', 'ENST00000652429', 'ENST00000686218')
30	6	('ENST00000375490', 'ENST00000540163', 'ENST00000541475', 'ENST00000542140', 'ENST00000544347', 'ENST00000544582')
30	1	('ENST00000540163',)
30	11	('ENST00000525964', 'ENST00000533155', 'ENST00000534532', 'ENST00000534548', 'ENST00000685324', 'ENST00000687965', 'ENST00000688263', 'ENST00000688672', 'ENST00000689205', 'ENST00000690149', 'ENST00000690743')
30	13	('ENST00000263578', 'ENST00000525770', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000685844', 'ENST00000687699', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000689765', 'ENST00000690512', 'ENST00000692039')
30	1	('ENST00000534182',)
30	2	('ENST00000326402', 'ENST00000529184')
30	13	('ENST00000358171', 'ENST00000524558', 'ENST00000525611', 'ENST00000526242', 'ENST00000526397', 'ENST00000528760', 'ENST00000528990', 'ENST00000529643', 'ENST00000530284', 'ENST00000532356', 'ENST00000533449', 'ENST00000533603', 'ENST00000649490')
30	1	('ENST00000303296',)
30	1	('ENST00000531323',)
30	5	('ENST00000310614', 'ENST00000411840', 'ENST00000497094', 'ENST00000535277', 'ENST00000542303')
30	6	('ENST00000260054', 'ENST00000525503', 'ENST00000528149', 'ENST00000529689', 'ENST00000529745', 'ENST00000529856')
30	5	('ENST00000312234', 'ENST00000525767', 'ENST00000526451', 'ENST00000529964', 'ENST00000533544')
29	2	('ENST00000375095', 'ENST00000529187')
29	5	('ENST00000309366', 'ENST00000449942', 'ENST00000650773', 'ENST00000652094', 'ENST00000652762')
29	4	('ENST00000358171', 'ENST00000524558', 'ENST00000525876', 'ENST00000533603')
29	12	('ENST00000343631', 'ENST00000358681', 'ENST00000395673', 'ENST00000533608', 'ENST00000682359', 'ENST00000682711', 'ENST00000682815', 'ENST00000682993', 'ENST00000683000', 'ENST00000683870', 'ENST00000684124', 'ENST00000684533')
29	5	('ENST00000263681', 'ENST00000527458', 'ENST00000528481', 'ENST00000530511', 'ENST00000531615')
29	2	('ENST00000294258', 'ENST00000530744')
29	1	('ENST00000527309',)
29	1	('ENST00000529694',)
29	2	('ENST00000278319', 'ENST00000414517')
29	6	('ENST00000398006', 'ENST00000531154', 'ENST00000532425', 'ENST00000614444', 'ENST00000616540', 'ENST00000622211')
29	1	('ENST00000428149',)
29	4	('ENST00000413761', 'ENST00000432999', 'ENST00000526020', 'ENST00000526852')
29	2	('ENST00000530203', 'ENST00000645439')
29	4	('ENST00000360025', 'ENST00000420843', 'ENST00000532447', 'ENST00000532525')
29	2	('ENST00000254579', 'ENST00000524401')
29	6	('ENST00000300038', 'ENST00000320750', 'ENST00000379387', 'ENST00000396197', 'ENST00000535484', 'ENST00000543987')
29	15	('ENST00000354420', 'ENST00000356187', 'ENST00000397604', 'ENST00000397614', 'ENST00000397615', 'ENST00000438658', 'ENST00000524464', 'ENST00000525701', 'ENST00000527485', 'ENST00000529115', 'ENST00000529306', 'ENST00000529368', 'ENST00000531149', 'ENST00000533410', 'ENST00000534797')
29	10	('ENST00000382743', 'ENST00000524564', 'ENST00000525319', 'ENST00000526854', 'ENST00000528469', 'ENST00000529055', 'ENST00000529382', 'ENST00000530067', 'ENST00000532837', 'ENST00000532956')
29	48	('ENST00000299626', 'ENST00000376156', 'ENST00000525761', 'ENST00000525783', 'ENST00000526737', 'ENST00000526849', 'ENST00000527099', 'ENST00000529139', 'ENST00000530608', 'ENST00000530910', 'ENST00000532306', 'ENST00000532440', 'ENST00000679444', 'ENST00000679497', 'ENST00000679559', 'ENST00000679648', 'ENST00000679685', 'ENST00000679697', 'ENST00000679874', 'ENST00000679986', 'ENST00000680063', 'ENST00000680101', 'ENST00000680223', 'ENST00000680256', 'ENST00000680329', 'ENST00000680398', 'ENST00000680399', 'ENST00000680459', 'ENST00000680467', 'ENST00000680499', 'ENST00000680580', 'ENST00000680643', 'ENST00000680761', 'ENST00000680797', 'ENST00000680829', 'ENST00000680866', 'ENST00000680996', 'ENST00000681221', 'ENST00000681225', 'ENST00000681351', 'ENST00000681384', 'ENST00000681417', 'ENST00000681489', 'ENST00000681575', 'ENST00000681699', 'ENST00000681723', 'ENST00000681765', 'ENST00000681957')
29	1	('ENST00000527446',)
29	10	('ENST00000436863', 'ENST00000525825', 'ENST00000527979', 'ENST00000528513', 'ENST00000528974', 'ENST00000529871', 'ENST00000533400', 'ENST00000640184', 'ENST00000672037', 'ENST00000673097')
29	7	('ENST00000278200', 'ENST00000526776', 'ENST00000531331', 'ENST00000532287', 'ENST00000533642', 'ENST00000534812', 'ENST00000648582')
29	2	('ENST00000356187', 'ENST00000525701')
29	1	('ENST00000394065',)
29	2	('ENST00000337979', 'ENST00000641815')
29	1	('ENST00000527881',)
29	9	('ENST00000358171', 'ENST00000524558', 'ENST00000525611', 'ENST00000526397', 'ENST00000530284', 'ENST00000532356', 'ENST00000533449', 'ENST00000533603', 'ENST00000649490')
29	10	('ENST00000251871', 'ENST00000533133', 'ENST00000638294', 'ENST00000638767', 'ENST00000639189', 'ENST00000639523', 'ENST00000639596', 'ENST00000639724', 'ENST00000640027', 'ENST00000640521')
29	14	('ENST00000352187', 'ENST00000395123', 'ENST00000395124', 'ENST00000524863', 'ENST00000525474', 'ENST00000528187', 'ENST00000529112', 'ENST00000529113', 'ENST00000529494', 'ENST00000529554', 'ENST00000530005', 'ENST00000533235', 'ENST00000533245', 'ENST00000533524')
29	10	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000478970', 'ENST00000495052', 'ENST00000539814', 'ENST00000540430', 'ENST00000542179', 'ENST00000543445')
29	2	('ENST00000279249', 'ENST00000649896')
29	4	('ENST00000265981', 'ENST00000528665', 'ENST00000530156', 'ENST00000533412')
29	11	('ENST00000355527', 'ENST00000407721', 'ENST00000525137', 'ENST00000525346', 'ENST00000526780', 'ENST00000527316', 'ENST00000682708', 'ENST00000683287', 'ENST00000683714', 'ENST00000685320', 'ENST00000690257')
29	6	('ENST00000334736', 'ENST00000524767', 'ENST00000525038', 'ENST00000525919', 'ENST00000529032', 'ENST00000533248')
29	15	('ENST00000340437', 'ENST00000394888', 'ENST00000413184', 'ENST00000413232', 'ENST00000439958', 'ENST00000448745', 'ENST00000449811', 'ENST00000450000', 'ENST00000477890', 'ENST00000535222', 'ENST00000536145', 'ENST00000536548', 'ENST00000537162', 'ENST00000539952', 'ENST00000544585')
29	18	('ENST00000354202', 'ENST00000392834', 'ENST00000409993', 'ENST00000414373', 'ENST00000442480', 'ENST00000639704', 'ENST00000640102', 'ENST00000640747', 'ENST00000682232', 'ENST00000682326', 'ENST00000682791', 'ENST00000682811', 'ENST00000682946', 'ENST00000683143', 'ENST00000684142', 'ENST00000684255', 'ENST00000684345', 'ENST00000684499')
29	10	('ENST00000311027', 'ENST00000342922', 'ENST00000349238', 'ENST00000395336', 'ENST00000395344', 'ENST00000402192', 'ENST00000402799', 'ENST00000406482', 'ENST00000407859', 'ENST00000634938')
29	15	('ENST00000426335', 'ENST00000524586', 'ENST00000524782', 'ENST00000525314', 'ENST00000525398', 'ENST00000526342', 'ENST00000527927', 'ENST00000528041', 'ENST00000528444', 'ENST00000529455', 'ENST00000530596', 'ENST00000532438', 'ENST00000533243', 'ENST00000627920', 'ENST00000629231')
29	7	('ENST00000278903', 'ENST00000524723', 'ENST00000527235', 'ENST00000531636', 'ENST00000534546', 'ENST00000615917', 'ENST00000618552')
29	2	('ENST00000300650', 'ENST00000530849')
29	6	('ENST00000311129', 'ENST00000341980', 'ENST00000393055', 'ENST00000527614', 'ENST00000534500', 'ENST00000534521')
29	1	('ENST00000534025',)
29	47	('ENST00000346299', 'ENST00000352297', 'ENST00000393223', 'ENST00000409459', 'ENST00000444541', 'ENST00000470293', 'ENST00000481642', 'ENST00000484818', 'ENST00000495134', 'ENST00000497683', 'ENST00000674528', 'ENST00000674610', 'ENST00000674924', 'ENST00000674968', 'ENST00000674974', 'ENST00000674989', 'ENST00000675022', 'ENST00000675030', 'ENST00000675174', 'ENST00000675196', 'ENST00000675288', 'ENST00000675320', 'ENST00000675362', 'ENST00000675438', 'ENST00000675454', 'ENST00000675477', 'ENST00000675489', 'ENST00000675636', 'ENST00000675652', 'ENST00000675660', 'ENST00000675807', 'ENST00000675848', 'ENST00000675896', 'ENST00000675910', 'ENST00000675922', 'ENST00000675933', 'ENST00000675981', 'ENST00000676027', 'ENST00000676146', 'ENST00000676166', 'ENST00000676177', 'ENST00000676261', 'ENST00000676268', 'ENST00000676272', 'ENST00000676378', 'ENST00000676388', 'ENST00000676440')
29	1	('ENST00000278671',)
29	6	('ENST00000265651', 'ENST00000448981', 'ENST00000526785', 'ENST00000530401', 'ENST00000532927', 'ENST00000534136')
29	8	('ENST00000310571', 'ENST00000376384', 'ENST00000535604', 'ENST00000536003', 'ENST00000541951', 'ENST00000544552', 'ENST00000544909', 'ENST00000546039')
29	3	('ENST00000294172', 'ENST00000530875', 'ENST00000532297')
29	23	('ENST00000313663', 'ENST00000334126', 'ENST00000414160', 'ENST00000442398', 'ENST00000535954', 'ENST00000538361', 'ENST00000539061', 'ENST00000679415', 'ENST00000679906', 'ENST00000680231', 'ENST00000680645', 'ENST00000680665', 'ENST00000680718', 'ENST00000680839', 'ENST00000681143', 'ENST00000681291', 'ENST00000681310', 'ENST00000681345', 'ENST00000681385', 'ENST00000681609', 'ENST00000681811', 'ENST00000681829', 'ENST00000681924')
29	12	('ENST00000310571', 'ENST00000376384', 'ENST00000504441', 'ENST00000535604', 'ENST00000536003', 'ENST00000536582', 'ENST00000541951', 'ENST00000542293', 'ENST00000543814', 'ENST00000544552', 'ENST00000544909', 'ENST00000546039')
29	7	('ENST00000278903', 'ENST00000524723', 'ENST00000527131', 'ENST00000527235', 'ENST00000527842', 'ENST00000618552', 'ENST00000620753')
29	1	('ENST00000252108',)
29	8	('ENST00000278903', 'ENST00000524723', 'ENST00000527235', 'ENST00000527842', 'ENST00000534546', 'ENST00000615917', 'ENST00000618552', 'ENST00000620753')
29	18	('ENST00000351960', 'ENST00000358965', 'ENST00000366394', 'ENST00000368959', 'ENST00000393695', 'ENST00000535087', 'ENST00000535947', 'ENST00000537217', 'ENST00000537930', 'ENST00000541641', 'ENST00000541719', 'ENST00000542977', 'ENST00000543009', 'ENST00000543937', 'ENST00000544129', 'ENST00000544238', 'ENST00000613205', 'ENST00000620566')
29	3	('ENST00000357899', 'ENST00000397753', 'ENST00000527478')
28	14	('ENST00000263578', 'ENST00000525770', 'ENST00000532125', 'ENST00000685484', 'ENST00000685601', 'ENST00000685765', 'ENST00000686242', 'ENST00000686888', 'ENST00000687699', 'ENST00000688588', 'ENST00000689283', 'ENST00000689477', 'ENST00000692039', 'ENST00000692336')
28	7	('ENST00000358171', 'ENST00000524558', 'ENST00000525876', 'ENST00000530284', 'ENST00000533449', 'ENST00000533603', 'ENST00000649490')
28	1	('ENST00000378750',)
28	2	('ENST00000426530', 'ENST00000534775')
28	26	('ENST00000278520', 'ENST00000423339', 'ENST00000530106', 'ENST00000530203', 'ENST00000643839', 'ENST00000644686', 'ENST00000645366', 'ENST00000645439', 'ENST00000645500', 'ENST00000646050', 'ENST00000646638', 'ENST00000646818', 'ENST00000647080', 'ENST00000679616', 'ENST00000679708', 'ENST00000679788', 'ENST00000679856', 'ENST00000679960', 'ENST00000680052', 'ENST00000680171', 'ENST00000680728', 'ENST00000680763', 'ENST00000680859', 'ENST00000680979', 'ENST00000681164', 'ENST00000681451')
28	7	('ENST00000310614', 'ENST00000314282', 'ENST00000398483', 'ENST00000411840', 'ENST00000508278', 'ENST00000540162', 'ENST00000544819')
28	2	('ENST00000155840', 'ENST00000335475')
28	6	('ENST00000260056', 'ENST00000527633', 'ENST00000533014', 'ENST00000533486', 'ENST00000534141', 'ENST00000612684')
28	10	('ENST00000256196', 'ENST00000414023', 'ENST00000526063', 'ENST00000529237', 'ENST00000531421', 'ENST00000531807', 'ENST00000532814', 'ENST00000532950', 'ENST00000534746', 'ENST00000537760')
28	7	('ENST00000318562', 'ENST00000526198', 'ENST00000526909', 'ENST00000530636', 'ENST00000533256', 'ENST00000614442', 'ENST00000650127')
28	3	('ENST00000380525', 'ENST00000397111', 'ENST00000531387')
28	6	('ENST00000263681', 'ENST00000527458', 'ENST00000528481', 'ENST00000530511', 'ENST00000531615', 'ENST00000532497')
28	19	('ENST00000278893', 'ENST00000301781', 'ENST00000360796', 'ENST00000403098', 'ENST00000403550', 'ENST00000403734', 'ENST00000405837', 'ENST00000407022', 'ENST00000421906', 'ENST00000448568', 'ENST00000449636', 'ENST00000524862', 'ENST00000679883', 'ENST00000682223', 'ENST00000682555', 'ENST00000683025', 'ENST00000683296', 'ENST00000684067', 'ENST00000684285')
28	7	('ENST00000265838', 'ENST00000299355', 'ENST00000531813', 'ENST00000672008', 'ENST00000672031', 'ENST00000672354', 'ENST00000672580')
28	3	('ENST00000227322', 'ENST00000429220', 'ENST00000449430')
28	4	('ENST00000458649', 'ENST00000528950', 'ENST00000534300', 'ENST00000683756')
28	6	('ENST00000263646', 'ENST00000317204', 'ENST00000525159', 'ENST00000527886', 'ENST00000527938', 'ENST00000530506')
28	1	('ENST00000532069',)
28	8	('ENST00000350997', 'ENST00000421879', 'ENST00000424501', 'ENST00000433932', 'ENST00000540767', 'ENST00000542506', 'ENST00000545245', 'ENST00000545405')
28	7	('ENST00000321448', 'ENST00000340360', 'ENST00000525407', 'ENST00000527087', 'ENST00000528219', 'ENST00000531849', 'ENST00000684022')
28	16	('ENST00000251871', 'ENST00000528786', 'ENST00000533133', 'ENST00000533359', 'ENST00000638487', 'ENST00000638767', 'ENST00000638790', 'ENST00000639189', 'ENST00000639457', 'ENST00000639523', 'ENST00000639596', 'ENST00000639724', 'ENST00000640027', 'ENST00000640077', 'ENST00000640451', 'ENST00000640521')
28	3	('ENST00000298229', 'ENST00000537656', 'ENST00000538751')
28	1	('ENST00000673846',)
28	3	('ENST00000300737', 'ENST00000526596', 'ENST00000533977')
28	2	('ENST00000299606', 'ENST00000396602')
28	6	('ENST00000356360', 'ENST00000393346', 'ENST00000526033', 'ENST00000526961', 'ENST00000530542', 'ENST00000630913')
28	5	('ENST00000278460', 'ENST00000378615', 'ENST00000395460', 'ENST00000525895', 'ENST00000528488')
28	27	('ENST00000278520', 'ENST00000423339', 'ENST00000530203', 'ENST00000643839', 'ENST00000644686', 'ENST00000645366', 'ENST00000645439', 'ENST00000645500', 'ENST00000646050', 'ENST00000646638', 'ENST00000646818', 'ENST00000679616', 'ENST00000679696', 'ENST00000679708', 'ENST00000679788', 'ENST00000679856', 'ENST00000679960', 'ENST00000680052', 'ENST00000680171', 'ENST00000680532', 'ENST00000680728', 'ENST00000680763', 'ENST00000680859', 'ENST00000680979', 'ENST00000681014', 'ENST00000681164', 'ENST00000681451')
28	3	('ENST00000260257', 'ENST00000528274', 'ENST00000531487')
28	13	('ENST00000280346', 'ENST00000393051', 'ENST00000531306', 'ENST00000533297', 'ENST00000679368', 'ENST00000679815', 'ENST00000679878', 'ENST00000680010', 'ENST00000680331', 'ENST00000681316', 'ENST00000681328', 'ENST00000681339', 'ENST00000681638')
28	5	('ENST00000375490', 'ENST00000540163', 'ENST00000542140', 'ENST00000544313', 'ENST00000545678')
28	7	('ENST00000319863', 'ENST00000354286', 'ENST00000397472', 'ENST00000524550', 'ENST00000526650', 'ENST00000528309', 'ENST00000534603')
28	2	('ENST00000350997', 'ENST00000536991')
28	7	('ENST00000535503', 'ENST00000537644', 'ENST00000538117', 'ENST00000538393', 'ENST00000539395', 'ENST00000542531', 'ENST00000543587')
28	7	('ENST00000300013', 'ENST00000524803', 'ENST00000529318', 'ENST00000530436', 'ENST00000531581', 'ENST00000531751', 'ENST00000532452')
28	1	('ENST00000535820',)
28	4	('ENST00000227474', 'ENST00000529801', 'ENST00000530811', 'ENST00000534158')
28	6	('ENST00000300013', 'ENST00000524803', 'ENST00000529318', 'ENST00000530180', 'ENST00000531581', 'ENST00000532452')
28	5	('ENST00000278829', 'ENST00000525588', 'ENST00000527697', 'ENST00000531956', 'ENST00000534223')
27	8	('ENST00000265636', 'ENST00000393800', 'ENST00000393801', 'ENST00000524845', 'ENST00000524904', 'ENST00000527403', 'ENST00000529344', 'ENST00000529710')
27	7	('ENST00000311172', 'ENST00000409263', 'ENST00000409314', 'ENST00000409418', 'ENST00000409853', 'ENST00000432043', 'ENST00000458644')
27	4	('ENST00000349880', 'ENST00000360655', 'ENST00000396085', 'ENST00000396087')
27	9	('ENST00000294187', 'ENST00000398802', 'ENST00000524438', 'ENST00000526259', 'ENST00000526898', 'ENST00000527174', 'ENST00000529962', 'ENST00000530936', 'ENST00000533629')
27	1	('ENST00000284292',)
27	2	('ENST00000341318', 'ENST00000530446')
27	1	('ENST00000532119',)
27	4	('ENST00000347755', 'ENST00000524486', 'ENST00000525028', 'ENST00000534649')
27	8	('ENST00000304716', 'ENST00000393427', 'ENST00000525034', 'ENST00000526164', 'ENST00000526415', 'ENST00000527134', 'ENST00000532481', 'ENST00000630098')
27	3	('ENST00000299613', 'ENST00000450114', 'ENST00000681684')
27	4	('ENST00000334274', 'ENST00000432887', 'ENST00000528107', 'ENST00000531632')
27	1	('ENST00000457199',)
27	2	('ENST00000254605', 'ENST00000533907')
27	1	('ENST00000531921',)
27	2	('ENST00000250018', 'ENST00000682019')
27	2	('ENST00000440460', 'ENST00000615255')
27	3	('ENST00000310046', 'ENST00000525754', 'ENST00000531969')
27	10	('ENST00000406246', 'ENST00000525658', 'ENST00000525693', 'ENST00000526283', 'ENST00000527749', 'ENST00000527909', 'ENST00000531238', 'ENST00000532999', 'ENST00000534558', 'ENST00000612991')
27	9	('ENST00000341318', 'ENST00000352980', 'ENST00000377046', 'ENST00000528198', 'ENST00000530446', 'ENST00000530605', 'ENST00000531880', 'ENST00000534104', 'ENST00000534650')
