counts	number of items in equivalence class	isoforms in equivalence class
2431	3	('ENST00000326294', 'ENST00000341356', 'ENST00000616321')
2426	3	('ENST00000320631', 'ENST00000359393', 'ENST00000621096')
2413	1	('ENST00000530022',)
2378	13	('ENST00000278572', 'ENST00000524851', 'ENST00000526248', 'ENST00000526608', 'ENST00000527273', 'ENST00000527446', 'ENST00000528439', 'ENST00000528847', 'ENST00000530164', 'ENST00000530170', 'ENST00000531188', 'ENST00000532872', 'ENST00000534440')
2375	2	('ENST00000308595', 'ENST00000526285')
2353	1	('ENST00000314133',)
2337	6	('ENST00000227378', 'ENST00000453788', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
2334	5	('ENST00000260197', 'ENST00000525532', 'ENST00000527934', 'ENST00000532694', 'ENST00000534286')
2332	13	('ENST00000328221', 'ENST00000399815', 'ENST00000408968', 'ENST00000528780', 'ENST00000679380', 'ENST00000679765', 'ENST00000680588', 'ENST00000680696', 'ENST00000680938', 'ENST00000681180', 'ENST00000681426', 'ENST00000681577', 'ENST00000681938')
2323	3	('ENST00000379412', 'ENST00000495052', 'ENST00000540430')
2302	7	('ENST00000227157', 'ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000540430', 'ENST00000542179', 'ENST00000545215')
2281	6	('ENST00000346178', 'ENST00000356638', 'ENST00000532402', 'ENST00000534779', 'ENST00000540933', 'ENST00000648273')
2224	3	('ENST00000312055', 'ENST00000354558', 'ENST00000529230')
2222	5	('ENST00000279247', 'ENST00000524773', 'ENST00000527323', 'ENST00000533129', 'ENST00000533820')
2206	9	('ENST00000422465', 'ENST00000524851', 'ENST00000526248', 'ENST00000527446', 'ENST00000528847', 'ENST00000530164', 'ENST00000530170', 'ENST00000530721', 'ENST00000531188')
2183	3	('ENST00000278823', 'ENST00000524902', 'ENST00000527204')
2120	2	('ENST00000227155', 'ENST00000524750')
2092	2	('ENST00000257261', 'ENST00000278840')
2088	7	('ENST00000227378', 'ENST00000524552', 'ENST00000526110', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
2082	3	('ENST00000398603', 'ENST00000398606', 'ENST00000498765')
2068	1	('ENST00000301785',)
2062	2	('ENST00000322535', 'ENST00000528302')
2036	7	('ENST00000227378', 'ENST00000453788', 'ENST00000526110', 'ENST00000532636', 'ENST00000533540', 'ENST00000534319', 'ENST00000534624')
2027	3	('ENST00000322535', 'ENST00000528302', 'ENST00000530981')
2026	2	('ENST00000287156', 'ENST00000340573')
2019	1	('ENST00000379719',)
2005	1	('ENST00000311481',)
1998	2	('ENST00000257829', 'ENST00000531159')
1985	1	('ENST00000227155',)
1959	1	('ENST00000300146',)
1954	9	('ENST00000278572', 'ENST00000422465', 'ENST00000524851', 'ENST00000526608', 'ENST00000527273', 'ENST00000527446', 'ENST00000528847', 'ENST00000530721', 'ENST00000531188')
1947	1	('ENST00000228136',)
1928	6	('ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000540430', 'ENST00000542179', 'ENST00000545215')
1911	5	('ENST00000312989', 'ENST00000358239', 'ENST00000376745', 'ENST00000527663', 'ENST00000679175')
1908	1	('ENST00000620041',)
1904	5	('ENST00000339995', 'ENST00000396525', 'ENST00000525681', 'ENST00000526148', 'ENST00000528839')
1896	4	('ENST00000396394', 'ENST00000418988', 'ENST00000530457', 'ENST00000555531')
1847	4	('ENST00000351018', 'ENST00000396978', 'ENST00000396979', 'ENST00000533217')
1801	8	('ENST00000314138', 'ENST00000524496', 'ENST00000525981', 'ENST00000526562', 'ENST00000530022', 'ENST00000530913', 'ENST00000532359', 'ENST00000534599')
1793	1	('ENST00000531978',)
1778	2	('ENST00000524851', 'ENST00000525933')
1778	2	('ENST00000392668', 'ENST00000535549')
1774	2	('ENST00000249923', 'ENST00000439561')
1763	2	('ENST00000278590', 'ENST00000453089')
1748	10	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000478970', 'ENST00000486690', 'ENST00000540430', 'ENST00000542179', 'ENST00000543445', 'ENST00000545215')
1739	3	('ENST00000263464', 'ENST00000526421', 'ENST00000673846')
1739	7	('ENST00000308162', 'ENST00000524553', 'ENST00000525451', 'ENST00000527344', 'ENST00000531407', 'ENST00000531413', 'ENST00000534769')
1709	6	('ENST00000227157', 'ENST00000379412', 'ENST00000422447', 'ENST00000430553', 'ENST00000540430', 'ENST00000545215')
1691	3	('ENST00000305218', 'ENST00000358794', 'ENST00000538945')
1679	8	('ENST00000311604', 'ENST00000381775', 'ENST00000405957', 'ENST00000406638', 'ENST00000417766', 'ENST00000432093', 'ENST00000457279', 'ENST00000612798')
1673	3	('ENST00000392668', 'ENST00000526145', 'ENST00000535549')
1564	1	('ENST00000263773',)
1557	4	('ENST00000392708', 'ENST00000529196', 'ENST00000531491', 'ENST00000649491')
1540	1	('ENST00000361367',)
1538	1	('ENST00000524496',)
1526	13	('ENST00000227378', 'ENST00000453788', 'ENST00000524590', 'ENST00000525624', 'ENST00000526110', 'ENST00000527387', 'ENST00000528292', 'ENST00000530391', 'ENST00000532182', 'ENST00000532636', 'ENST00000533540', 'ENST00000534567', 'ENST00000534624')
1526	1	('ENST00000312397',)
1512	2	('ENST00000375167', 'ENST00000530167')
1506	1	('ENST00000316059',)
1496	6	('ENST00000345732', 'ENST00000389939', 'ENST00000532073', 'ENST00000533306', 'ENST00000534668', 'ENST00000674194')
1495	3	('ENST00000310473', 'ENST00000536983', 'ENST00000663595')
1490	1	('ENST00000341394',)
1485	4	('ENST00000526555', 'ENST00000527548', 'ENST00000529639', 'ENST00000531743')
1480	2	('ENST00000328257', 'ENST00000398427')
1451	3	('ENST00000264028', 'ENST00000359415', 'ENST00000534182')
1449	1	('ENST00000329251',)
1432	1	('ENST00000320580',)
1427	6	('ENST00000314138', 'ENST00000524496', 'ENST00000526562', 'ENST00000530022', 'ENST00000530913', 'ENST00000534599')
1427	5	('ENST00000339995', 'ENST00000396525', 'ENST00000525681', 'ENST00000526148', 'ENST00000531180')
1417	26	('ENST00000328221', 'ENST00000408968', 'ENST00000528780', 'ENST00000679353', 'ENST00000679380', 'ENST00000679765', 'ENST00000679982', 'ENST00000680299', 'ENST00000680310', 'ENST00000680342', 'ENST00000680588', 'ENST00000680696', 'ENST00000680699', 'ENST00000680802', 'ENST00000680855', 'ENST00000680870', 'ENST00000680938', 'ENST00000681111', 'ENST00000681180', 'ENST00000681350', 'ENST00000681426', 'ENST00000681577', 'ENST00000681702', 'ENST00000681761', 'ENST00000681821', 'ENST00000681938')
1413	2	('ENST00000279227', 'ENST00000345728')
1408	1	('ENST00000356786',)
1405	2	('ENST00000318950', 'ENST00000447399')
1404	10	('ENST00000278572', 'ENST00000422465', 'ENST00000524851', 'ENST00000525933', 'ENST00000526608', 'ENST00000527446', 'ENST00000528847', 'ENST00000530721', 'ENST00000531188', 'ENST00000532872')
1393	2	('ENST00000311481', 'ENST00000527397')
1367	2	('ENST00000341394', 'ENST00000532820')
1349	12	('ENST00000227378', 'ENST00000453788', 'ENST00000524590', 'ENST00000525624', 'ENST00000526110', 'ENST00000527387', 'ENST00000528292', 'ENST00000530391', 'ENST00000532182', 'ENST00000532636', 'ENST00000534567', 'ENST00000534624')
1348	1	('ENST00000312579',)
1347	3	('ENST00000279227', 'ENST00000345728', 'ENST00000545896')
1339	3	('ENST00000339865', 'ENST00000399455', 'ENST00000527733')
1338	21	('ENST00000328221', 'ENST00000408968', 'ENST00000679353', 'ENST00000679380', 'ENST00000679765', 'ENST00000679982', 'ENST00000680299', 'ENST00000680310', 'ENST00000680342', 'ENST00000680588', 'ENST00000680696', 'ENST00000680699', 'ENST00000680802', 'ENST00000680870', 'ENST00000680938', 'ENST00000681180', 'ENST00000681426', 'ENST00000681577', 'ENST00000681702', 'ENST00000681761', 'ENST00000681938')
1334	5	('ENST00000264555', 'ENST00000413872', 'ENST00000416188', 'ENST00000533464', 'ENST00000534320')
1328	2	('ENST00000227525', 'ENST00000536171')
1321	3	('ENST00000264028', 'ENST00000359415', 'ENST00000392859')
1314	9	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000478970', 'ENST00000495052', 'ENST00000540430', 'ENST00000542179', 'ENST00000543445')
1314	5	('ENST00000525297', 'ENST00000526555', 'ENST00000527548', 'ENST00000529639', 'ENST00000531743')
1295	2	('ENST00000378852', 'ENST00000531273')
1294	2	('ENST00000319006', 'ENST00000528097')
1292	2	('ENST00000524496', 'ENST00000534599')
1271	1	('ENST00000263847',)
1264	2	('ENST00000278412', 'ENST00000635721')
1258	10	('ENST00000227157', 'ENST00000379412', 'ENST00000396222', 'ENST00000422447', 'ENST00000486690', 'ENST00000540430', 'ENST00000542179', 'ENST00000543445', 'ENST00000543695', 'ENST00000545215')
1249	1	('ENST00000350997',)
1239	4	('ENST00000312175', 'ENST00000445560', 'ENST00000527348', 'ENST00000533166')
1230	4	('ENST00000294256', 'ENST00000307289', 'ENST00000377190', 'ENST00000526060')
1214	5	('ENST00000300738', 'ENST00000532170', 'ENST00000533349', 'ENST00000533495', 'ENST00000534285')
1210	10	('ENST00000227378', 'ENST00000453788', 'ENST00000525463', 'ENST00000525624', 'ENST00000527387', 'ENST00000528292', 'ENST00000532182', 'ENST00000532636', 'ENST00000534567', 'ENST00000534624')
1209	9	('ENST00000330243', 'ENST00000348655', 'ENST00000397566', 'ENST00000397570', 'ENST00000469048', 'ENST00000525445', 'ENST00000528413', 'ENST00000532326', 'ENST00000533182')
1202	1	('ENST00000532872',)
1190	1	('ENST00000227451',)
1188	2	('ENST00000309422', 'ENST00000426086')
1170	2	('ENST00000265686', 'ENST00000532635')
1168	5	('ENST00000339995', 'ENST00000396525', 'ENST00000525681', 'ENST00000526148', 'ENST00000531416')
1162	2	('ENST00000393067', 'ENST00000531398')
1161	3	('ENST00000310513', 'ENST00000395290', 'ENST00000687097')
1154	8	('ENST00000308162', 'ENST00000524553', 'ENST00000525451', 'ENST00000527344', 'ENST00000531407', 'ENST00000531413', 'ENST00000532134', 'ENST00000534769')
1153	5	('ENST00000278616', 'ENST00000452508', 'ENST00000527805', 'ENST00000675595', 'ENST00000675843')
1149	3	('ENST00000398603', 'ENST00000398606', 'ENST00000646888')
1144	3	('ENST00000228140', 'ENST00000525634', 'ENST00000533969')
1128	6	('ENST00000263464', 'ENST00000526421', 'ENST00000527309', 'ENST00000532808', 'ENST00000615299', 'ENST00000673846')
1127	2	('ENST00000531572', 'ENST00000640290')
1126	1	('ENST00000309318',)
1125	1	('ENST00000355703',)
1118	1	('ENST00000279839',)
1112	3	('ENST00000320934', 'ENST00000524507', 'ENST00000676339')
1112	1	('ENST00000227471',)
1112	5	('ENST00000319397', 'ENST00000392668', 'ENST00000526145', 'ENST00000531611', 'ENST00000535549')
1110	2	('ENST00000544551', 'ENST00000645495')
1102	2	('ENST00000227155', 'ENST00000342935')
1100	8	('ENST00000227503', 'ENST00000334944', 'ENST00000377387', 'ENST00000377390', 'ENST00000377394', 'ENST00000433274', 'ENST00000448404', 'ENST00000681407')
1098	7	('ENST00000227503', 'ENST00000334944', 'ENST00000377387', 'ENST00000377390', 'ENST00000377394', 'ENST00000448404', 'ENST00000681407')
1096	8	('ENST00000530473', 'ENST00000532519', 'ENST00000543287', 'ENST00000612687', 'ENST00000614711', 'ENST00000617285', 'ENST00000621959', 'ENST00000652093')
1095	10	('ENST00000311604', 'ENST00000381775', 'ENST00000405957', 'ENST00000406638', 'ENST00000417766', 'ENST00000429923', 'ENST00000432093', 'ENST00000446808', 'ENST00000457279', 'ENST00000612798')
1090	1	('ENST00000288937',)
1087	1	('ENST00000305885',)
1087	1	('ENST00000278353',)
